_id,orderId,itemId,dishName,quantity,orderTime,queueSizeAtOrder,availableChefsAtOrder,startCookingTime,completionTime,updatedEstimatedTime,estimatedTime,actualTime,categoryName,difficultyLevel,createdAt,updatedAt,__v,timeBetweenOrderAndStart,timeBetweenStartAndCompletion,hourOfDay,dayOfWeek,isWeekend
67fa2ac6f365452f16295e28,67fa23f22635ed772a5863d9,67f14c2024b8613569bd988a,9,1,2025-04-12 08:28:02.719,2,1,2025-04-12 08:56:33.269,2025-04-12 08:56:38.403,5,3,5,2,1,2025-04-12 08:56:38.413,2025-04-12 08:56:38.413,0,28.509166666666665,0.08556666666666667,8,5,1
67fa38d4582ff1048a984363,67fa383e582ff1048a984306,67f14bd224b8613569bd9883,8,3,2025-04-12 09:54:28.893,0,1,2025-04-12 09:56:29.627,2025-04-12 09:56:36.665,7,3,7,2,1,2025-04-12 09:56:36.689,2025-04-12 09:56:36.689,0,2.012233333333333,0.1173,9,5,1
67fa38e4582ff1048a984391,67fa383e582ff1048a984306,67f14c2024b8613569bd988a,9,2,2025-04-12 09:54:28.893,0,1,2025-04-12 09:56:48.264,2025-04-12 09:56:52.944,5,3,5,2,1,2025-04-12 09:56:52.948,2025-04-12 09:56:52.948,0,2.3228500000000003,0.078,9,5,1
67fa38ee582ff1048a9843bf,67fa383e582ff1048a984306,67f14c6724b8613569bd9890,5,2,2025-04-12 09:54:28.893,0,1,2025-04-12 09:56:58.936,2025-04-12 09:57:02.592,4,5,4,2,1,2025-04-12 09:57:02.592,2025-04-12 09:57:02.592,0,2.500716666666667,0.06093333333333333,9,5,1
67fa3a2c582ff1048a9843f5,67fa383e582ff1048a984306,67f14c9c24b8613569bd9897,2,4,2025-04-12 09:54:28.893,0,1,2025-04-12 10:02:17.037,2025-04-12 10:02:20.011,3,5,3,2,1,2025-04-12 10:02:20.014,2025-04-12 10:02:20.014,0,7.8024000000000004,0.04956666666666667,9,5,1
67fa3a38582ff1048a984424,67fa383e582ff1048a984306,67f14ce624b8613569bd989e,3,2,2025-04-12 09:54:28.893,0,1,2025-04-12 10:02:29.421,2025-04-12 10:02:32.598,3,5,3,2,1,2025-04-12 10:02:32.599,2025-04-12 10:02:32.599,0,8.0088,0.052950000000000004,9,5,1
67fa3a41582ff1048a984452,67fa383e582ff1048a984306,67f14d5724b8613569bd98a5,0,10,2025-04-12 09:54:28.893,0,1,2025-04-12 10:02:38.693,2025-04-12 10:02:41.885,3,3,3,2,1,2025-04-12 10:02:41.886,2025-04-12 10:02:41.886,0,8.163333333333334,0.053200000000000004,9,5,1
67fa3a4c582ff1048a984480,67fa383e582ff1048a984306,67f14dda24b8613569bd98ac,1,2,2025-04-12 09:54:28.893,0,1,2025-04-12 10:02:49.863,2025-04-12 10:02:52.952,3,3,3,2,1,2025-04-12 10:02:52.953,2025-04-12 10:02:52.953,0,8.3495,0.05148333333333333,9,5,1
67fa3a57582ff1048a9844ae,67fa383e582ff1048a984306,67f14e3324b8613569bd98b3,6,2,2025-04-12 09:54:28.893,0,1,2025-04-12 10:03:00.369,2025-04-12 10:03:03.054,3,10,3,2,1,2025-04-12 10:03:03.054,2025-04-12 10:03:03.054,0,8.5246,0.04475,9,5,1
67fb76c08d84c840f6b2332e,67fb767f8d84c840f6b232f6,67f14c9c24b8613569bd9897,2,1,2025-04-13 08:32:06.362,0,1,2025-04-13 08:32:20.853,2025-04-13 08:33:04.553,44,5,44,4,1,2025-04-13 08:33:04.554,2025-04-13 08:33:04.554,0,0.24151666666666666,0.7283333333333334,8,6,1
67fb88a78d84c840f6b2351c,67fb875b8d84c840f6b234cd,67f14d5724b8613569bd98a5,0,1,2025-04-13 09:49:22.753,0,1,2025-04-13 09:49:26.866,2025-04-13 09:49:27.887,1,3,1,2,1,2025-04-13 09:49:27.893,2025-04-13 09:49:27.893,0,0.06855000000000001,0.017016666666666666,9,6,1
67fba212a5d22c826bb86c55,67fba158a5d22c826bb86c08,67f14c9c24b8613569bd9897,2,1,2025-04-13 11:35:23.646,0,1,2025-04-13 11:35:40.366,2025-04-13 11:37:54.126,134,5,134,4,3,2025-04-13 11:37:54.127,2025-04-13 11:37:54.127,0,0.2786666666666667,2.2293333333333334,11,6,1
67fbbde12a960f55c9d4aef5,67fbbcc82a960f55c9d4adee,67f14c9c24b8613569bd9897,2,1,2025-04-13 13:34:57.262,17,1,2025-04-13 13:36:13.422,2025-04-13 13:36:33.174,20,5,20,4,3,2025-04-13 13:36:33.190,2025-04-13 13:36:33.190,0,1.2693333333333332,0.3292,13,6,1
67fbbde12a960f55c9d4af0a,67fbbcc82a960f55c9d4adee,67f14ce624b8613569bd989e,3,1,2025-04-13 13:34:57.262,17,1,2025-04-13 13:36:14.225,2025-04-13 13:36:33.790,20,5,20,3,1,2025-04-13 13:36:33.791,2025-04-13 13:36:33.791,0,1.2827166666666665,0.32608333333333334,13,6,1
67fbbde22a960f55c9d4af1f,67fbbcc82a960f55c9d4adee,67f14d5724b8613569bd98a5,0,3,2025-04-13 13:34:57.262,17,1,2025-04-13 13:36:15.004,2025-04-13 13:36:34.789,20,3,20,2,1,2025-04-13 13:36:34.791,2025-04-13 13:36:34.791,0,1.2957,0.32975,13,6,1
67fbbde32a960f55c9d4af34,67fbbcc82a960f55c9d4adee,67f14dda24b8613569bd98ac,1,1,2025-04-13 13:34:57.262,17,1,2025-04-13 13:36:15.791,2025-04-13 13:36:35.758,20,3,20,2,4,2025-04-13 13:36:35.765,2025-04-13 13:36:35.765,0,1.3088166666666665,0.3327833333333333,13,6,1
67fbbde42a960f55c9d4af49,67fbbcc82a960f55c9d4adee,67f14e3324b8613569bd98b3,6,1,2025-04-13 13:34:57.262,17,1,2025-04-13 13:36:24.383,2025-04-13 13:36:36.550,12,10,12,2,1,2025-04-13 13:36:36.552,2025-04-13 13:36:36.552,0,1.4520166666666665,0.20278333333333334,13,6,1
67fbbde52a960f55c9d4af5e,67fbbcc82a960f55c9d4adee,67f14f0824b8613569bd98c9,4,4,2025-04-13 13:34:57.262,17,1,2025-04-13 13:36:25.305,2025-04-13 13:36:37.356,12,5,12,0,1,2025-04-13 13:36:37.357,2025-04-13 13:36:37.357,0,1.4673833333333335,0.20085,13,6,1
67fbd3890a2f176b3e752a52,67fbd1840a2f176b3e7529e3,67f14c9c24b8613569bd9897,2,2,2025-04-13 15:08:12.794,16,1,2025-04-13 15:08:56.323,2025-04-13 15:08:57.279,1,5,1,4,3,2025-04-13 15:08:57.284,2025-04-13 15:08:57.284,0,0.7254833333333334,0.015933333333333334,15,6,1
67fbd38c0a2f176b3e752a68,67fbd1840a2f176b3e7529e3,67f14ce624b8613569bd989e,3,1,2025-04-13 15:08:12.794,16,1,2025-04-13 15:08:59.360,2025-04-13 15:09:00.133,1,5,1,3,1,2025-04-13 15:09:00.134,2025-04-13 15:09:00.134,0,0.7761,0.012883333333333333,15,6,1
67fbd4750a2f176b3e752ad8,67fbd4690a2f176b3e752ab5,67f14c9c24b8613569bd9897,2,2,2025-04-13 15:12:47.691,16,1,2025-04-13 15:12:52.041,2025-04-13 15:12:53.085,1,5,1,4,3,2025-04-13 15:12:53.087,2025-04-13 15:12:53.087,0,0.0725,0.017400000000000002,15,6,1
67fc994897cc30a99122e2b7,67fbbcf1280493e5578d5850,67f14ec224b8613569bd98c2,7,1,2025-04-13 13:33:18.999,9,1,2025-04-14 05:11:01.510,2025-04-14 05:12:40.458,99,3,99,0,2,2025-04-14 05:12:40.462,2025-04-14 05:12:40.462,0,937.7085166666667,1.6491333333333331,13,6,1
67fc9b7d97cc30a99122e3ca,67fc9aad97cc30a99122e2fa,67f14c9c24b8613569bd9897,2,1,2025-04-14 05:18:51.785,0,1,2025-04-14 05:21:06.042,2025-04-14 05:22:05.435,59,5,59,4,3,2025-04-14 05:22:05.436,2025-04-14 05:22:05.436,0,2.237616666666667,0.9898833333333333,5,0,0
67ff540468f5d894a7a352a7,67ff532668f5d894a7a35219,67f14c9c24b8613569bd9897,2,3,2025-04-16 06:51:11.991,0,1,2025-04-16 06:53:52.296,2025-04-16 06:53:56.546,4,5,4,4,3,2025-04-16 06:53:56.547,2025-04-16 06:53:56.547,0,2.6717500000000003,0.07083333333333333,6,2,0
67ff578f68f5d894a7a35444,67ff577b68f5d894a7a3541b,67f14c9c24b8613569bd9897,2,1,2025-04-16 07:08:54.088,0,1,2025-04-16 07:09:00.728,2025-04-16 07:09:03.361,3,5,3,4,3,2025-04-16 07:09:03.363,2025-04-16 07:09:03.363,0,0.11066666666666666,0.04388333333333334,7,2,0
6800c3ee87f0cb4b394571b8,6800c3c787f0cb4b39457176,67f14c9c24b8613569bd9897,2,2,2025-04-17 09:03:13.107,0,1,2025-04-17 09:03:30.538,2025-04-17 09:03:42.668,12,5,12,4,3,2025-04-17 09:03:42.672,2025-04-17 09:03:42.672,0,0.2905166666666667,0.2021666666666667,9,3,0
6800c3f987f0cb4b394571d9,6800c3c787f0cb4b39457176,67f14ce624b8613569bd989e,3,1,2025-04-17 09:03:13.107,0,1,2025-04-17 09:03:50.743,2025-04-17 09:03:53.203,2,5,2,3,1,2025-04-17 09:03:53.204,2025-04-17 09:03:53.204,0,0.6272666666666668,0.041,9,3,0
6800d26b87f0cb4b39457397,6800cfa887f0cb4b394572e5,67f14c9c24b8613569bd9897,2,2,2025-04-17 09:55:02.695,0,1,2025-04-17 09:55:19.995,2025-04-17 10:05:31.457,611,5,611,4,3,2025-04-17 10:05:31.475,2025-04-17 10:05:31.475,0,0.28833333333333333,10.191033333333333,9,3,0
6803ae1b96a772e7d6bd3042,6803acd496a772e7d6bd3001,67f14ce624b8613569bd989e,3,3,2025-04-19 14:02:35.050,0,0,2025-04-19 14:07:21.537,2025-04-19 14:07:23.249,2,3,2,3,1,2025-04-19 14:07:23.252,2025-04-19 14:07:23.252,0,4.774783333333334,0.028533333333333334,14,5,1
6803ae1c96a772e7d6bd304d,6803acd496a772e7d6bd3001,67f14e3324b8613569bd98b3,6,8,2025-04-19 14:02:35.050,0,0,2025-04-19 14:07:19.864,2025-04-19 14:07:24.722,5,10,5,2,1,2025-04-19 14:07:24.723,2025-04-19 14:07:24.723,0,4.7469,0.08096666666666666,14,5,1
6803ae2196a772e7d6bd306a,6803acd496a772e7d6bd3001,67f14d5724b8613569bd98a5,0,1,2025-04-19 14:02:35.050,0,0,2025-04-19 14:07:26.507,2025-04-19 14:07:29.572,3,3,3,2,1,2025-04-19 14:07:29.573,2025-04-19 14:07:29.573,0,4.857616666666667,0.051083333333333335,14,5,1
6803ae2296a772e7d6bd3075,6803acd496a772e7d6bd3001,67f1581324b8613569bd9977,11,3,2025-04-19 14:02:35.050,0,0,2025-04-19 14:07:28.207,2025-04-19 14:07:30.880,3,3,3,1,1,2025-04-19 14:07:30.881,2025-04-19 14:07:30.881,0,4.885949999999999,0.04455,14,5,1
6805ef7a3538fbc56d0b023e,6805d6b1f75971d23bb5ba8c,67f14c9c24b8613569bd9897,2,3,2025-04-21 05:26:10.802,6,0,2025-04-21 07:09:03.568,2025-04-21 07:10:49.789,106,3,106,4,3,2025-04-21 07:10:50.045,2025-04-21 07:10:50.045,0,102.87943333333332,1.77035,5,0,0
6805efa23538fbc56d0b024c,6805d6b1f75971d23bb5ba8c,67f14ce624b8613569bd989e,3,2,2025-04-21 05:26:10.802,6,0,2025-04-21 07:10:11.634,2025-04-21 07:11:29.734,78,3,78,3,1,2025-04-21 07:11:30.734,2025-04-21 07:11:30.734,0,104.01386666666667,1.3016666666666665,5,0,0
6805f20e3538fbc56d0b02b3,6805d6b1f75971d23bb5ba8c,67f14ec224b8613569bd98c2,7,1,2025-04-21 05:26:10.802,6,0,2025-04-21 07:21:40.702,2025-04-21 07:21:50.057,9,3,9,0,2,2025-04-21 07:21:50.281,2025-04-21 07:21:50.281,0,115.49833333333332,0.15591666666666668,5,0,0
6805f2133538fbc56d0b02bf,6805d6b1f75971d23bb5ba8c,67f14e6d24b8613569bd98ba,10,9,2025-04-21 05:26:10.802,6,0,2025-04-21 07:21:27.493,2025-04-21 07:21:55.296,28,3,28,0,1,2025-04-21 07:21:55.532,2025-04-21 07:21:55.532,0,115.27818333333333,0.46338333333333337,5,0,0
6805f2173538fbc56d0b02cb,6805d6b1f75971d23bb5ba8c,67f14d5724b8613569bd98a5,0,7,2025-04-21 05:26:10.802,6,0,2025-04-21 07:21:24.034,2025-04-21 07:21:59.119,35,3,35,2,1,2025-04-21 07:21:59.346,2025-04-21 07:21:59.346,0,115.22053333333334,0.58475,5,0,0
6808fc45c2f60790309bb295,6806068915124d980fb78c1d,67f14ec224b8613569bd98c2,7,1,2025-04-21 08:49:26.236,4,0,2025-04-23 14:35:33.273,2025-04-23 14:42:13.235,400,3,400,0,2,2025-04-23 14:42:13.468,2025-04-23 14:42:13.468,0,3226.1172833333335,6.666033333333333,8,0,0
680a324dcc9035fd02716d6a,680a2f86cc9035fd02716cee,67f14e3324b8613569bd98b3,6,1,2025-04-24 12:33:28.839,0,0,2025-04-24 12:33:42.622,2025-04-24 12:45:01.162,679,10,679,2,1,2025-04-24 12:45:01.385,2025-04-24 12:45:01.385,0,0.22971666666666665,11.309,12,3,0
680a32edcc9035fd02716d7c,680a2f86cc9035fd02716cee,67f14e6d24b8613569bd98ba,10,1,2025-04-24 12:33:28.839,0,0,2025-04-24 12:34:03.896,2025-04-24 12:47:40.472,817,10,817,0,1,2025-04-24 12:47:41.523,2025-04-24 12:47:41.523,0,0.5842833333333334,13.6096,12,3,0
680b4b5acaec81b491d551df,680a4fe46bba85710aa934f3,67f14ce624b8613569bd989e,3,2,2025-04-24 14:51:55.666,0,0,2025-04-25 08:44:02.027,2025-04-25 08:44:10.680,9,3,9,3,1,2025-04-25 08:44:10.914,2025-04-25 08:44:10.914,0,1072.1060166666666,0.1442166666666667,14,3,0
680b4c0ccaec81b491d5522c,680b4bf6caec81b491d55202,67f14c9c24b8613569bd9897,2,2,2025-04-25 08:46:53.120,0,0,2025-04-25 08:47:00.416,2025-04-25 08:47:08.000,8,5,8,4,3,2025-04-25 08:47:08.253,2025-04-25 08:47:08.253,0,0.1216,0.12639999999999998,8,4,0
